name,quantity,Full URL,tcgplayer_id,Image URL,Initial Price
Secret Lair Drop: Artist Series: Jesper Ejsing - Non-Foil Edition,2,"https://www.tcgplayer.com/product/618096/magic-secret-lair-drop-series-secret-lair-drop-artist-series-jesper-ejsing-non-foil-edition",618096,"https://cdn-prod.scalefast.com/resize/-x636/public/assets/user/10751401/sample/fd9b6a5e23a88cfac23b01bd43e78502.png",29.99
Secret Lair x FINAL FANTASY: Grimoire - Non-Foil Edition,1,"https://www.tcgplayer.com/product/637473/magic-secret-lair-drop-series-secret-lair-x-final-fantasy-grimoire-non-foil-edition",637473,"https://cdn-prod.scalefast.com/resize/-x636/public/assets/user/10751401/image/2bb1ce8c489503293de5f23392a40a84.png",29.99
Secret Lair Drop: Flower Power - Rainbow Foil Edition,1,"https://www.tcgplayer.com/product/655936/magic-secret-lair-drop-series-secret-lair-drop-flower-power-rainbow-foil-edition",655936,"https://cdn-prod.scalefast.com/resize/-x636/public/assets/user/10751401/image/7a8a8ab6f282b53b78e777a4f2938f63.png",1.00
Secret Lair x NALAC Drop: Nuestra Magia (Non-Foil),1,"https://www.tcgplayer.com/product/636315/magic-secret-lair-drop-series-secret-lair-x-nalac-drop-nuestra-magia-non-foil",636315,"https://cdn-prod.scalefast.com/resize/-x636/public/assets/user/10751401/image/c23783a5d72d749e6a0069a84afaa3b3.png",39.99
Secret Lair Drop: Sheldon's Spellbook - Non-Foil Edition,1,"https://www.tcgplayer.com/product/539212/magic-secret-lair-drop-series-secret-lair-drop-sheldons-spellbook-non-foil-edition",539212,"https://cdn-prod.scalefast.com/resize/-x636/public/assets/user/10751401/image/be656db2bb14e058dc569625af892606.png",39.99
Secret Lair x FINAL FANTASY: Gilded Lotus - Rainbow Foil Edition,1,"https://www.tcgplayer.com/product/638883/magic-secret-lair-drop-series-secret-lair-x-final-fantasy-gilded-lotus-rainbow-foil-edition",638883,"https://media.wizards.com/2025/images/daily/en_wQiqJuJ6FZ.webp",0
Secret Lair x Sonic the Hedgehog Superdrop: Friends & Foes (Rainbow Foil),2,"https://www.tcgplayer.com/product/643592/magic-secret-lair-drop-series-secret-lair-x-sonic-the-hedgehog-superdrop-friends-and-foes-rainbow-foil",643592,"https://cdn-prod.scalefast.com/resize/-x636/public/assets/user/10751401/image/a8af1f85f2e3bf3c950285b8fe72b012.png",49.99
Secret Lair Drop: Our Boss is on Vacation Superdrop: Garden Buds - Rainbow Foil Edition,1,"https://www.tcgplayer.com/product/624742/magic-secret-lair-drop-series-secret-lair-drop-our-boss-is-on-vacation-superdrop-garden-buds-rainbow-foil-edition",624742,"https://cdn-prod.scalefast.com/resize/-x636/public/assets/user/10751401/sample/f77fe74a156dbfcb880becbd9aea3b6a.png",39.99
Secret Lair Drop: Secret Lair x Marvel's Deadpool: April Pool's Day! - Non-Foil Edition,1,"https://www.tcgplayer.com/product/625876/magic-secret-lair-drop-series-secret-lair-drop-secret-lair-x-marvels-deadpool-april-pools-day-non-foil-edition",625876,"https://cdn-prod.scalefast.com/resize/-x636/public/assets/user/10751401/sample/b79417c24200ce9ae8a5622220185bcc.png",39.99
Secret Lair Drop: Secret Lair x Teenage Mutant Ninja Turtles: The Last Ronin - Traditional Foil Edition,1,"https://www.tcgplayer.com/product/680227/magic-secret-lair-drop-series-secret-lair-drop-secret-lair-x-teenage-mutant-ninja-turtles-the-last-ronin-traditional-foil-edition",680227,"https://cdn-prod.scalefast.com/resize/-x636/public/assets/user/10751401/image/555346a8a383b819fd9fce40ae82932b.png",39.99
Secret Lair x Sonic the Hedgehog Superdrop: Chasing Adventure (Rainbow Foil),1,"https://www.tcgplayer.com/product/643593/magic-secret-lair-drop-series-secret-lair-x-sonic-the-hedgehog-superdrop-chasing-adventure-rainbow-foil",643593,"https://cdn-prod.scalefast.com/resize/-x636/public/assets/user/10751401/image/c7cbff565584dc2cfdffa88d77ccc6f6.png",39.99
Secret Lair Drop: Featuring: Stan Sakai - Traditional Foil Edition,1,"https://www.tcgplayer.com/product/680233/magic-secret-lair-drop-series-secret-lair-drop-featuring-stan-sakai-traditional-foil-edition",680233,"https://cdn-prod.scalefast.com/resize/-x636/public/assets/user/10751401/image/16588dbfe1cd08e30e792502b77bbc0f.png",39.99
